TAZID,longitude,latitude,charge_count,area,perimeter
1,114.1430014,22.5638784,39,3157104.734,8051.7688
2,114.0622249,22.5635991,57,1111455.492,4519.2385
3,114.0751443,22.5665463,52,1711875.143,6129.3717
4,114.0356367,22.5370296,135,1643063.863,5777.1089
5,113.9673554,22.5503186,95,2812415.545,8117.6664
6,113.8862439,22.5510208,47,2835686.366,7877.3746
7,113.8607106,22.6287696,142,1485980.953,5828.7387
8,113.873006,22.5795006,33,1606363.081,5175.1166
9,113.8484558,22.7857587,21,3371908.048,13670.3384
10,113.82833,22.7352267,55,2592298.944,6711.4272
11,113.7930042,22.7098238,274,3387279.995,7579.4307
12,113.903928,22.7597704,135,4893360.338,9941.5617
13,113.8881914,22.7571813,24,2070129.482,6065.6527
14,114.0322207,22.7200269,164,2237162.079,6371.2688
15,114.0334084,22.6276944,241,2390710.773,6408.1774
16,114.0190659,22.6619841,34,1287001.459,4552.2006
17,114.0773243,22.7075988,110,2906448.276,9193.1807
18,114.0680249,22.6499856,109,1959295.442,5744.6718
19,114.1276384,22.7094019,221,5007215.483,18370.0512
20,114.1090482,22.6569476,58,3837343.785,8473.1771
21,114.2932963,22.6814584,12,4956530.57,22413.3337
22,114.3355451,22.6511442,88,49933877,42393.5535
23,113.9352497,22.577107,75,3875149.414,8824.1218
24,114.1255489,22.622611,50,3170710.887,7130.9504
25,114.187945,22.6384381,236,769679.6783,3634.2369
26,114.2252494,22.6937265,25,2042090.685,6723.8525
27,114.0808074,22.634883,77,1981578.967,5713.9732
28,114.0533499,22.5367345,194,2070174.516,6908.7072
29,113.9147349,22.5492479,16,1016059.384,4131.9953
30,113.9241926,22.5126697,290,765505.0295,3724.5077
31,114.0446006,22.5164909,18,772798.2404,3707.213
32,114.0344981,22.5590078,33,1179422.049,4901.4687
33,114.1099716,22.5370019,160,1105138.015,4993.4636
34,114.135305,22.5832631,48,1562618.351,8434.3338
35,114.2317571,22.5538725,34,573553.4717,3200.5969
36,114.1452761,22.5992193,446,6133970.501,18053.4776
