scen_idx,pi,J,Oel,Ocmp,L,P_TOT,DW,flaginf
1,0.0270270270270271,7084.02309010242,0,0.399352436755055,7084.42244253917,16037.0711669581,20.1301214749898,1
2,0.0270270270270271,7103.72228316664,0,0.256900180944116,7103.97918334758,16623.3074418952,12.9495437447996,1
3,0.0270270270270271,7541.41079303324,0,0,7541.41079303324,18028.7829571423,0,0
4,0.0270270270270271,7612.52968342505,0,0,7612.52968342505,19373.7181655081,0,0
5,0.0270270270270271,8146.91798579821,0,0,8146.91798579821,20186.8198136002,0,0
6,0.0270270270270271,8446.2153080864,0,0,8446.2153080864,22091.041283238,0,0
7,0.0270270270270271,8780.11224514604,0,0.256059294243684,8780.36830444029,24468.9585547852,29.3718766516087,1
8,0.0270270270270271,9668.4247907387,0,0.662628056603657,9669.0874187953,27080.3962788878,22.7279435076064,1
9,0.0270270270270271,10442.2284359304,0,0,10442.2284359304,30062.8237706127,0,0
10,0.0270270270270271,9128.76654107386,0,0.372694626252414,9129.13923570012,25210.0810906244,13.3288760798537,1
11,0.0270270270270271,8766.47263796401,0,0,8766.47263796401,24286.09264449,0,0
12,0.0270270270270271,9330.49179236102,0,0.239100922516616,9330.73089328353,26759.4222109862,29.2992427876373,1
13,0.0270270270270271,8852.43897942043,0,0.154710510184109,8852.59368993061,25139.1317648998,8.52416769575747,1
14,0.0270270270270271,8241.2009396415,0,0,8241.2009396415,22603.4845838607,0,0
15,0.0270270270270271,8983.02687730786,0,0.478548947318934,8983.50542625518,24768.9921502626,18.3356749053962,1
16,0.0270270270270271,8863.60266554325,0,1.67756123920365,8865.28022678245,24347.3015557785,92.4294885063561,1
17,0.0270270270270271,8963.31899695586,0,0.322149063544687,8963.6411460194,24636.9364161572,11.5392638899377,1
18,0.0270270270270271,8943.50854396716,0,0,8943.50854396716,25146.1877655349,0,0
19,0.0270270270270271,9481.5745785736,0,0.566703343387799,9482.14128191699,26781.3488706011,20.299110463671,1
20,0.0270270270270271,8935.50034964629,0,0,8935.50034964629,25357.0408389148,0,0
21,0.0270270270270271,8711.54117105194,0,0.782559409299089,8712.32373046124,24033.9061808911,43.1170941703965,1
22,0.0270270270270271,9805.33879754284,0,0.290974827383818,9805.62977237023,27117.0769419445,35.6558311146495,1
23,0.0270270270270271,9737.44995130158,0,0,9737.44995130158,27517.0110578906,0,0
24,0.0270270270270271,9833.65308013347,0,0.498961321953151,9834.15204145542,28725.8143489852,71.7360989005458,1
25,0.0270270270270271,10125.1425527198,0,0.314948979912144,10125.4575016997,29361.1812624435,61.7672402988995,1
26,0.0270270270270271,9834.96514784326,0,0.347190825207469,9835.31233866847,29282.6663670126,44.7569045878672,1
27,0.0270270270270271,9050.42258955544,0,0.425853048779513,9050.84844260422,24963.7903424794,23.4634531114034,1
28,0.0270270270270271,8842.05027489861,0,0.172448533804026,8842.22272343242,25184.4133325303,2.44021351885072,1
29,0.0270270270270271,10026.1800838733,0,0,10026.1800838733,29219.8842545053,0,0
30,0.0270270270270271,9458.78962892275,0,1.0258167360664,9459.81544565881,27070.3767758455,149.342101979408,1
31,0.0270270270270271,9223.42879334762,0,0.167829201466316,9223.59662254908,26549.6385412014,20.565661014023,1
32,0.0270270270270271,9441.39807345148,0,0.838419793910524,9442.23649324539,26928.8187662422,127.045898567619,1
33,0.0270270270270271,8813.35229170361,0,0,8813.35229170361,25816.0282492206,0,0
34,0.0270270270270271,8229.84705254753,0,0.483738685248214,8230.33079123278,24750.9281177004,24.2090876095072,1
35,0.0270270270270271,8193.42232091824,0,0.102245765667572,8193.52456668391,25350.905885814,6.33026399990361,1
36,0.0270270270270271,8838.65405695408,0,0,8838.65405695408,27039.694244951,0,0
37,0.0270270270270271,8914.2480645533,0,0.149014095242697,8914.39707864854,27721.7183500522,5.33763143498093,1
